param_name,param_value,pcmci_mae,pcmci_rmse,pcmci_bias,bagged_mae,bagged_rmse,bagged_bias,bootstrap_mae,bootstrap_rmse,bootstrap_bias
auto,0.01,0.0097047424986725,0.0097047424986725,-0.0097047424986725,0.0099068423054605,0.0099068423054605,-0.0099068423054605,0.0098989183364507,0.0098989183364507,-0.0098989183364507
auto,0.061578947368421,0.0072401048068215,0.0072401048068215,-0.0072401048068215,0.0071918523646462,0.0071918523646462,-0.0071918523646462,0.0081985451169512,0.0081985451169512,-0.0081985451169512
auto,0.1131578947368421,0.0080189769335972,0.0080189769335972,-0.0080189769335972,0.0079563738088945,0.0079563738088945,-0.0079563738088945,0.0089780137221833,0.0089780137221833,-0.0089780137221833
auto,0.1647368421052631,0.0087628586296969,0.0087628586296969,-0.0087628586296969,0.0087628586296969,0.0087628586296969,-0.0087628586296969,0.0095331312785477,0.0095331312785477,-0.0095331312785477
auto,0.2163157894736842,0.0094539077241502,0.0094539077241502,-0.0094539077241502,0.0094539077241502,0.0094539077241502,-0.0094539077241502,0.0104319194943892,0.0104319194943892,-0.0104319194943892
auto,0.2678947368421052,0.0100855448139565,0.0100855448139565,-0.0100855448139565,0.0100855448139565,0.0100855448139565,-0.0100855448139565,0.0110065035689094,0.0110065035689094,-0.0110065035689094
auto,0.3194736842105263,0.0106651533140387,0.0106651533140387,-0.0106651533140387,0.0106651533140387,0.0106651533140387,-0.0106651533140387,0.0115443079668059,0.0115443079668059,-0.0115443079668059
auto,0.3710526315789473,0.0112156857660388,0.0112156857660388,-0.0112156857660388,0.0113559175275562,0.0113559175275562,-0.0113559175275562,0.0125127558040591,0.0125127558040591,-0.0125127558040591
auto,0.4226315789473684,0.0117651373331906,0.0117651373331906,-0.0117651373331906,0.0119711313656643,0.0119711313656643,-0.0119711313656643,0.0127329932427724,0.0127329932427724,-0.0127329932427724
auto,0.4742105263157894,0.0123267829750373,0.0123267829750373,-0.0123267829750373,0.0123267829750373,0.0123267829750373,-0.0123267829750373,0.0136173364014137,0.0136173364014137,-0.0136173364014137
auto,0.5257894736842105,0.0128651414874763,0.0128651414874763,-0.0128651414874763,0.0131788280595455,0.0131788280595455,-0.0131788280595455,0.0140370245534129,0.0140370245534129,-0.0140370245534129
auto,0.5773684210526315,0.0132852494878108,0.0132852494878108,-0.0132852494878108,0.0132852494878108,0.0132852494878108,-0.0132852494878108,0.0145713146257738,0.0145713146257738,-0.0145713146257738
auto,0.6289473684210526,0.0134815053562376,0.0134815053562376,-0.0134815053562376,0.0134815053562376,0.0134815053562376,-0.0134815053562376,0.0146759661999528,0.0146759661999528,-0.0146759661999528
auto,0.6805263157894736,0.0135952837152186,0.0135952837152186,-0.0135952837152186,0.0135952837152186,0.0135952837152186,-0.0135952837152186,0.0153093872183256,0.0153093872183256,-0.0153093872183256
auto,0.7321052631578947,0.0135114790687483,0.0135114790687483,-0.0135114790687483,0.0135114790687483,0.0135114790687483,-0.0135114790687483,0.0156270753667931,0.0156270753667931,-0.0156270753667931
auto,0.7836842105263158,0.0134386250157181,0.0134386250157181,-0.0134386250157181,0.0134386250157181,0.0134386250157181,-0.0134386250157181,0.0165203889370229,0.0165203889370229,-0.0165203889370229
auto,0.8352631578947368,0.0089951429248698,0.0089951429248698,-0.0089951429248698,0.0089951429248698,0.0089951429248698,-0.0089951429248698,0.0156429828032638,0.0156429828032638,-0.0156429828032638
auto,0.8868421052631579,0.0215284108157702,0.0215284108157702,-0.0215284108157702,0.022421789261857,0.022421789261857,-0.022421789261857,0.0193726952117081,0.0193726952117081,-0.0193726952117081
auto,0.9384210526315788,0.0099838203455457,0.0099838203455457,-0.0099838203455457,0.0099838203455457,0.0099838203455457,-0.0099838203455457,0.0205386140264547,0.0205386140264547,-0.0205386140264547
auto,0.99,0.0520553418195373,0.0520553418195373,0.0520553418195373,0.0520553418195373,0.0520553418195373,0.0520553418195373,0.0384981421872687,0.0384981421872687,0.0384981421872687
cross,0.01,,,,,,,0.009074711463993,0.009074711463993,-0.009074711463993
cross,0.061578947368421,0.0054164416331454,0.0054164416331454,-0.0054164416331454,0.0054164416331454,0.0054164416331454,-0.0054164416331454,0.014026837797994,0.014026837797994,-0.014026837797994
cross,0.1131578947368421,0.0061224974505707,0.0061224974505707,-0.0061224974505707,0.0061224974505707,0.0061224974505707,-0.0061224974505707,0.0102311675182965,0.0102311675182965,-0.0102311675182965
cross,0.1647368421052631,0.0068226022952735,0.0068226022952735,-0.0068226022952735,0.0068226022952735,0.0068226022952735,-0.0068226022952735,0.0123022739296737,0.0123022739296737,-0.0123022739296737
cross,0.2163157894736842,0.0075243758917191,0.0075243758917191,-0.0075243758917191,0.0075243758917191,0.0075243758917191,-0.0075243758917191,0.0121319139874232,0.0121319139874232,-0.0121319139874232
cross,0.2678947368421052,0.0082528126952943,0.0082528126952943,-0.0082528126952943,0.0085016950087966,0.0085016950087966,-0.0085016950087966,0.0125868900418999,0.0125868900418999,-0.0125868900418999
cross,0.3194736842105263,0.0090411217575985,0.0090411217575985,-0.0090411217575985,0.0092518032528259,0.0092518032528259,-0.0092518032528259,0.0126547260508643,0.0126547260508643,-0.0126547260508643
cross,0.3710526315789473,0.0099195767740167,0.0099195767740167,-0.0099195767740167,0.0101132362923577,0.0101132362923577,-0.0101132362923577,0.0125896693898863,0.0125896693898863,-0.0125896693898863
cross,0.4226315789473684,0.0109081473123628,0.0109081473123628,-0.0109081473123628,0.0111141672734114,0.0111141672734114,-0.0111141672734114,0.012964608993228,0.012964608993228,-0.012964608993228
cross,0.4742105263157894,0.0120114338480812,0.0120114338480812,-0.0120114338480812,0.0120114338480812,0.0120114338480812,-0.0120114338480812,0.0136291464711433,0.0136291464711433,-0.0136291464711433
cross,0.5257894736842105,0.0132202536152927,0.0132202536152927,-0.0132202536152927,0.0135596203751666,0.0135596203751666,-0.0135596203751666,0.013982153113304,0.013982153113304,-0.013982153113304
cross,0.5773684210526315,0.014513422307531,0.014513422307531,-0.014513422307531,0.014513422307531,0.014513422307531,-0.014513422307531,0.0145024406668359,0.0145024406668359,-0.0145024406668359
cross,0.6289473684210526,0.0158610467681472,0.0158610467681472,-0.0158610467681472,0.0158610467681472,0.0158610467681472,-0.0158610467681472,0.014632092526291,0.014632092526291,-0.014632092526291
cross,0.6805263157894736,0.0172280681470597,0.0172280681470597,-0.0172280681470597,0.0180877489226158,0.0180877489226158,-0.0180877489226158,0.0147693051893413,0.0147693051893413,-0.0147693051893413
